Periodo;Provincia;TODOS LOS REGIMENES Total Sexo;TODOS LOS REGIMENES Mujer;TODOS LOS REGIMENES Varon;REGIMEN GENERAL Total Sexo;REGIMEN GENERAL Mujer;REGIMEN GENERAL Varon;R.G.(S.E.AGRARIO) Total Sexo;R.G.(S.E.AGRARIO) Mujer;R.G.(S.E.AGRARIO) Varon;R.G.(S.E. EM. HOGAR) Total Sexo;R.G.(S.E. EM. HOGAR) Mujer;R.G.(S.E. EM. HOGAR) Varon;R.E.AUTONOMOS (NO SETA) Total Sexo;R.E.AUTONOMOS (NO SETA) Mujer;R.E.AUTONOMOS (NO SETA) Varon;REG.E. AUTONOMOS (SETA) Total Sexo;REG.E. AUTONOMOS (SETA) Mujer;REG.E. AUTONOMOS (SETA) Varon;R.E.MAR(CUENTA AJENA) Total Sexo;R.E.MAR(CUENTA AJENA) Mujer;R.E.MAR(CUENTA AJENA) Varon;R.E.MAR(C. PROPIA) Total Sexo;R.E.MAR(C. PROPIA) Mujer;R.E.MAR(C. PROPIA) Varon;R.E. MINERIA CARBON Total Sexo;R.E. MINERIA CARBON Mujer;R.E. MINERIA CARBON Varon
201302;35. Palmas;344910.50;158713.20;186194.30;275095.00;131959.20;143132.80;7641.20;3545.05;4096.15;5994.10;5542.35;451.75;52291.40;16967.20;35324.20;914.40;327.95;586.45;2748.20;366.45;2381.75;226.20;5.00;221.20;0.00;0.00;0.00
201302;36. Pontevedra;308959.30;145912.65;163045.20;220042.60;106149.90;113891.25;1228.55;497.55;731.00;8703.40;8568.75;134.65;60500.75;23716.05;36784.70;4621.55;3136.60;1484.95;7491.15;656.40;6834.75;6371.30;3187.40;3183.90;0.00;0.00;0.00
201302;37. Salamanca;108817.30;48369.45;60446.85;76726.40;37532.50;39193.90;1971.20;166.10;1805.10;2922.05;2839.10;81.95;22704.65;7220.85;15483.80;4493.00;610.90;3882.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
201302;38. Santa Cruz de Tenerife;305200.45;144448.15;160745.35;239304.60;118612.75;120684.90;7388.80;2613.75;4775.05;4644.80;4369.45;275.35;50236.30;18210.50;32025.80;1684.70;421.95;1262.75;1733.75;219.75;1514.00;207.50;0.00;207.50;0.00;0.00;0.00
201302;39. Cantabria;191464.25;89314.50;102147.75;143001.15;68157.25;74842.90;590.45;85.00;505.45;5870.20;5622.90;247.30;36124.60;13113.45;23010.15;4831.05;2221.05;2610.00;859.50;48.85;810.65;187.30;66.00;121.30;0.00;0.00;0.00
201302;40. Segovia;53880.65;23299.80;30579.85;36763.70;17459.65;19303.05;1298.30;487.85;810.45;1380.30;1327.20;53.10;12255.95;3773.00;8482.95;2182.40;252.10;1930.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
201302;41. Sevilla;637472.30;298208.55;339259.75;426498.65;194232.25;232264.40;101196.95;58736.60;42460.35;14131.65;13629.70;500.95;93375.75;31040.80;62333.95;1874.50;542.95;1331.55;336.80;25.25;311.55;58.00;1.00;57.00;0.00;0.00;0.00
201302;42. Soria;34759.85;14888.50;19871.35;25299.45;11847.30;13452.15;364.55;23.30;341.25;839.00;826.35;12.65;6568.00;1993.45;4574.55;1688.85;198.10;1490.75;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
201302;43. Tarragona;256981.30;115212.60;141768.70;192367.20;91151.15;101216.05;6374.75;1265.25;5109.50;4480.75;4178.40;302.35;47845.80;17231.20;30614.60;4037.95;1241.60;2796.35;1601.15;133.00;1468.15;273.70;12.00;261.70;0.00;0.00;0.00
201302;44. Teruel;48572.30;20940.90;27631.40;32832.45;15373.25;17459.20;907.55;144.35;763.20;808.00;784.10;23.90;9984.65;3400.90;6583.75;3772.10;1234.30;2537.80;0.00;0.00;0.00;0.00;0.00;0.00;267.55;4.00;263.55
